sample_key,dataset,source_version,identity_id,capture_date,day_number,occurrence,camera_id,cowshed_id,relative_camera_position,rgb_path,thermal_array_path,rgb_sha256,thermal_sha256,phash,mapping_state,payload_status,exact_duplicate_state,near_duplicate_state,duplicate_group_id,protocol_role,gallery_candidate,query_candidate,cohort_status,exclusion_reason,license_id
0086_1_1,holstein,2.0,0086,2018-06-30,1,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_1_1.jpg,holstein/extracted/Temperature/0086/0086_1_1.npy,58babf786ad1fa70728cf9e3eec01fa768be7478405c02be952f9f38afec1058,2d233c72edecac5e7f6ae8f45f406cfaa0b1c9ae636cff2b66feb23a37cf7ca8,bffcc00bd430e50d,exact-metadata,valid,unique,no-phash-candidate,,train-gallery,true,false,strict,,CC0-1.0
0086_2_1,holstein,2.0,0086,2018-07-01,2,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_2_1.jpg,holstein/extracted/Temperature/0086/0086_2_1.npy,e18c561d12ae7fcb0f3536be414204396b57d2c4354fc16df36956b732035bca,360de238f14a896a4d2f82be1ef57fc09ec9cb48195c5edc6ef5e1acf2427c41,fdf2c14179e822c9,exact-metadata,valid,unique,candidate-cleared,,train-gallery,true,false,strict,,CC0-1.0
0086_3_1,holstein,2.0,0086,2018-07-02,3,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_3_1.jpg,holstein/extracted/Temperature/0086/0086_3_1.npy,aee12df7bf0a9ed5d5efd8116663702db92da95e7c7f7e8a0d4f0663d25e45f5,4a4b535f817ed9ac2fc46328f1a3b169701224145ef2ee6ec2476d21afe9f58d,f1f0c30330fa36d9,exact-metadata,valid,unique,candidate-cleared,,train-gallery,true,false,strict,,CC0-1.0
0086_4_1,holstein,2.0,0086,2018-07-03,4,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_4_1.jpg,holstein/extracted/Temperature/0086/0086_4_1.npy,39b5780f4cdf633954aae33aa39589a6a8a95a9d223aef93034b55686c423ae1,4d8fe3c560a502b500d615847beee9f444c97861006e7c26ee8f9fd6c6205e26,f8f2c10372f037c9,exact-metadata,valid,unique,candidate-cleared,,train-gallery,true,false,strict,,CC0-1.0
0086_5_1,holstein,2.0,0086,2018-07-05,5,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_5_1.jpg,holstein/extracted/Temperature/0086/0086_5_1.npy,d1ea5c1e50d7cf8e92e6d3ccb39cb854ea27fb99af6f89f63e23cd6131853f5e,fd0f4676a33283508b4f1a97b38e28281acda5941bdb24b4073e5fe497a8f74e,f0f3c30232e21fd9,rank-derived,valid,unique,candidate-cleared,,train-gallery,true,false,strict,,CC0-1.0
0086_5_2,holstein,2.0,0086,2018-07-05,5,2,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_5_2.jpg,holstein/extracted/Temperature/0086/0086_5_2.npy,3ce171c816ea408ef4a738fac67f52f4bbaed228ab989c69571e88eb9d25220c,26659ae5e1aaf7ad601292817847abc8c5ccf81772a2526e0abbfe4775866678,f1f2c1033aea17c9,rank-derived,valid,unique,candidate-cleared,,train-gallery,true,false,strict,,CC0-1.0
0086_5_3,holstein,2.0,0086,2018-07-05,5,3,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_5_3.jpg,holstein/extracted/Temperature/0086/0086_5_3.npy,a85605bee05069ec3830943484cd0b555182a05998c7401f7a3acff9706d7da4,6f1c252aa813c6ea8206dabe8f134c85c4fda8609c8faa170399ab5850864db5,f1f2c3433aa817c9,rank-derived,valid,unique,candidate-cleared,,train-gallery,true,false,strict,,CC0-1.0
0086_6_1,holstein,2.0,0086,2018-07-06,6,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_6_1.jpg,holstein/extracted/Temperature/0086/0086_6_1.npy,38f4465a9f2d441d086625114032375f06ac0356da68724ae28940194f57c4da,60ff0df424b3e36f9081af0aa6abc8511bcc4fcac9caeee7b0515819e17451d0,f1f3c31232a01ddb,exact-metadata,valid,unique,candidate-cleared,,oof-calibration,false,false,strict,,CC0-1.0
0086_7_1,holstein,2.0,0086,2018-07-07,7,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_7_1.jpg,holstein/extracted/Temperature/0086/0086_7_1.npy,b2f2983d251038379a915dee8ed0dbdf4fdb84236238e178740ed466662eb59a,bd4cffddad05c726b1b5297905dbd60e552a4add17c9f0d26da353b9d446b8eb,f1f5c30272e01cdb,rank-derived,valid,unique,candidate-cleared,,locked-future-test,false,true,strict,,CC0-1.0
0086_7_2,holstein,2.0,0086,2018-07-07,7,2,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_7_2.jpg,holstein/extracted/Temperature/0086/0086_7_2.npy,8345773f2b66bf33101ba13ae23fcb8716bdcc643c7f2f05425d561a2b54b68f,7648fff3055cda3ee1986adbd124cb3db8c909bfa551eeda25335fcc264bfd77,f1f5c30272e025db,rank-derived,valid,unique,candidate-cleared,,locked-future-test,false,true,strict,,CC0-1.0
0086_8_1,holstein,2.0,0086,2018-07-08,8,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_8_1.jpg,holstein/extracted/Temperature/0086/0086_8_1.npy,b07ff3ec6bc80e66426a1119e36941363870acbdad92912b89a54a1be236df09,6f5e7aa294d87917d18fd65a5165ba97811886cdee7d7ffe73084a9d4bf23f78,f1f4430372a21fcb,rank-derived,valid,unique,no-phash-candidate,,locked-future-test,false,true,strict,,CC0-1.0
0086_8_2,holstein,2.0,0086,2018-07-08,8,2,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_8_2.jpg,holstein/extracted/Temperature/0086/0086_8_2.npy,486c23bee2cfbdb790accfc5d3e45d712565464c31f47df740aaa1e5c3541f2d,94fc040cfa898c65372091856e9f88ce51b1bea3966d80ebeab3953468041164,f1f443033af2358b,rank-derived,valid,unique,no-phash-candidate,,locked-future-test,false,true,strict,,CC0-1.0
0086_9_1,holstein,2.0,0086,2018-07-09,9,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0086/0086_9_1.jpg,holstein/extracted/Temperature/0086/0086_9_1.npy,935199b428589f3434ed7fc23d88c80781c4c1322a8f7b959035cade14086856,473ca4bedf24e1aa7d886bbe48ccf138206191cfd0c30b0f5b4bb8dd007bddca,b1f243333ae21d99,exact-metadata,valid,unique,candidate-cleared,,locked-future-test,false,true,strict,,CC0-1.0
0087_1_1,holstein,2.0,0087,2018-06-30,1,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0087/0087_1_1.jpg,holstein/extracted/Temperature/0087/0087_1_1.npy,ab40b928be53343c3114ea6e0c4a6b33aa40b99f5410c564e3062f87b3abddc5,6946475dac86d7842740ba4229c57fa84e0788a4583bff18dcc54d75a7c1c49e,befc8b0ad434d588,exact-metadata,valid,unique,no-phash-candidate,,train-gallery,true,false,strict,,CC0-1.0
0087_2_1,holstein,2.0,0087,2018-07-01,2,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0087/0087_2_1.jpg,holstein/extracted/Temperature/0087/0087_2_1.npy,d6e3b5d8f9c75ba6fc441e11463f06d6f0b4a9ad10daab2c018cab2cb50d4435,14a8209096d946a9f6af3e957f54759ca2d2b507360d4d0ca7a2e6327220fc32,f9f2c1095bf026c9,exact-metadata,valid,unique,candidate-cleared,,train-gallery,true,false,strict,,CC0-1.0
0087_3_1,holstein,2.0,0087,2018-07-02,3,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0087/0087_3_1.jpg,holstein/extracted/Temperature/0087/0087_3_1.npy,4f2f324da0ee4f09a78b722a20d47ad98b7729070a4ecce1fd4d202e26fbe2eb,3a48e785c328eafb8688a4e570db0919e26228ae3b4677a21c475bce69fd626f,b1f2c1123beb1b89,exact-metadata,valid,unique,candidate-cleared,,train-gallery,true,false,strict,,CC0-1.0
0087_4_1,holstein,2.0,0087,2018-07-03,4,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0087/0087_4_1.jpg,holstein/extracted/Temperature/0087/0087_4_1.npy,687e8e0913edd1f86c69dbfc58b2f96f560f0e6aad56160c155186722c1a1a8e,cfff7c562ed0a11c92ceec60273df56022538f8a4b7899bfd3f46f4283e4f097,f1f0c31372a41dd9,exact-metadata,valid,unique,candidate-cleared,,train-gallery,true,false,strict,,CC0-1.0
0087_5_1,holstein,2.0,0087,2018-07-05,5,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0087/0087_5_1.jpg,holstein/extracted/Temperature/0087/0087_5_1.npy,00358f5d96ba770dc3d6029e5ff2273f57360942e0e957b20cc8d3bf3ebc88b6,05f9532317a5670b30da64dc1f2a7e37ad92780bec0b7e4f301360c0cf92583b,f1f2c30372e21f89,exact-metadata,valid,unique,candidate-cleared,,train-gallery,true,false,strict,,CC0-1.0
0087_6_1,holstein,2.0,0087,2018-07-06,6,1,,,,holstein/extracted/Raw/RGB (640 x 480)/0087/0087_6_1.jpg,holstein/extracted/Temperature/0087/0087_6_1.npy,9c1126deb24ae86c55b656654211a1ddfd92d7bb43e3ae118d6aa689c7929fa5,e3001fb4903cba6b9dc514fea51d8b78a7bf3bc43eea85e14e5ae594e2e729ad,f1f2c31232e01ddb,exact-metadata,valid,unique,candidate-cleared,,oof-calibration,false,false,strict,,CC0-1.0
