fold,role,identity_id
0,train,0086
0,train,0087
0,train,0089
0,train,0094
0,train,0097
0,train,0100
0,train,0103
0,train,0104
0,train,0126
0,train,0146
0,train,0149
0,train,0151
0,train,0155
0,train,0172
0,train,0190
0,train,0192
0,train,0199
0,train,0210
0,train,0234
0,train,0237
0,train,0243
0,train,0266
0,train,0280
0,train,0287
0,train,0288
0,train,0289
0,train,0292
0,train,0296
0,train,0312
0,train,0353
0,train,0367
0,train,0384
0,train,0395
0,train,0410
0,train,0419
0,train,0423
0,train,0434
0,train,0438
0,train,0440
0,train,0441
0,train,0443
0,train,0444
0,train,0464
0,train,0469
0,train,0479
0,train,0487
0,train,0491
0,train,0495
0,train,0497
0,train,0498
0,train,0500
0,train,0506
0,train,0513
0,train,0517
0,train,0528
0,train,0534
0,train,0539
0,train,0550
0,train,0555
0,train,0561
0,train,0568
0,train,0580
0,train,0589
0,train,0592
0,train,0596
0,train,0601
0,train,0605
0,train,0619
0,train,0628
0,train,0629
0,train,0642
0,train,0643
0,train,0644
0,train,0647
0,train,0650
0,train,0653
0,train,0660
0,train,0665
0,train,0678
0,train,0684
0,train,0701
0,train,0706
0,train,0728
0,train,0730
0,train,0737
0,train,0752
0,train,0754
0,train,0769
0,train,0772
0,train,0779
0,train,0783
0,train,0813
0,train,0824
0,train,0838
0,train,0892
0,train,0922
0,train,0940
0,train,1021
0,train,1120
0,train,1146
0,train,1154
0,train,1165
0,train,1176
0,train,1224
0,train,1232
0,train,1239
0,train,1261
0,train,2411
0,train,3997
0,train,4191
0,train,5431
0,train,6034
0,train,6258
0,train,6279
0,train,6311
0,train,6518
0,train,6582
0,train,6732
0,train,6746
0,train,6769
0,train,6806
0,train,6807
0,train,6830
0,train,6847
0,train,6848
0,train,6851
0,train,6878
0,train,6940
0,train,6964
0,train,6985
0,train,7004
0,train,7021
0,train,7071
0,train,7078
0,train,7126
0,train,7161
0,train,7180
0,train,7219
0,train,7232
0,train,7239
0,train,7248
0,train,7348
0,train,7369
0,train,7387
0,train,7462
0,train,7475
0,train,7496
0,train,7516
0,train,7588
0,train,7590
0,train,7592
0,train,7601
0,train,7622
0,train,7630
0,train,7663
0,train,7666
0,train,7680
0,train,7699
0,train,7706
0,train,7721
0,train,7738
0,train,7742
0,train,7744
0,train,7748
0,train,7769
