dataset,identity_id,usable_row_count,usable_days,support_day_count,future_query_day_count,gallery_row_count,query_row_count,cohort_status,eligibility_reason
holstein,0086,13,1|2|3|4|5|6|7|8|9,5,3,7,5,strict,continuous-day1-6-and-future-query
holstein,0087,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0089,12,1|2|3|4|5|6|7|8|9,5,3,6,4,strict,continuous-day1-6-and-future-query
holstein,0090,11,1|2|3|4|5|6|7|8|9,5,3,6,4,strict,continuous-day1-6-and-future-query
holstein,0091,11,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0093,12,2|3|4|5|6|7|8|9,4,3,6,3,availability-only,strict-window-incomplete
holstein,0094,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0097,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0098,7,3|4|5|6|7|8|9,3,3,3,3,availability-only,strict-window-incomplete
holstein,0099,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0100,11,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0103,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0104,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0105,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0126,10,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0135,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0146,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0149,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0151,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0152,13,1|2|3|4|5|6|7|8|9,5,3,9,3,strict,continuous-day1-6-and-future-query
holstein,0155,12,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0172,11,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0185,11,1|2|3|4|5|6|7|8|9,5,3,7,3,strict,continuous-day1-6-and-future-query
holstein,0190,12,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0192,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0197,10,1|2|4|5|6|7|8|9,4,3,5,4,availability-only,strict-window-incomplete
holstein,0199,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0203,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0207,7,3|4|5|6|7|8|9,3,3,3,3,availability-only,strict-window-incomplete
holstein,0210,11,1|2|3|4|5|6|7|8|9,5,3,6,4,strict,continuous-day1-6-and-future-query
holstein,0219,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0220,11,1|2|3|4|5|6|7|8|9,5,3,5,5,strict,continuous-day1-6-and-future-query
holstein,0223,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0229,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0234,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
