fold,seed,B_R1,B_R5,GAP_R1,GAP_R5,SupCon_in_R1,SupCon_in_R5
0,17,0.8310679611650486,0.9902912621359223,0.7288025889967638,0.9789644012944984,0.6766990291262136,0.9142394822006472
0,29,0.884789644012945,0.9957928802588997,0.7262135922330097,0.9796116504854369,0.6517799352750809,0.9436893203883495
0,43,0.858252427184466,0.9941747572815534,0.7372168284789644,0.9841423948220065,0.6368932038834951,0.9242718446601942
1,17,0.855663430420712,0.9954692556634305,0.7462783171521036,0.9750809061488673,0.6915857605177993,0.9359223300970874
1,29,0.8627831715210356,0.987378640776699,0.7951456310679612,0.9796116504854369,0.6411003236245955,0.8877022653721682
1,43,0.8663430420711974,0.9844660194174757,0.7621359223300971,0.973462783171521,0.7035598705501618,0.913915857605178
2,17,0.8414673046251994,0.9840510366826156,0.737799043062201,0.960127591706539,0.6647527910685805,0.9132376395534291
2,29,0.8111642743221691,0.9827751196172249,0.724401913875598,0.9559808612440192,0.6481658692185008,0.908133971291866
2,43,0.8213716108452951,0.9926634768740031,0.7457735247208931,0.9569377990430622,0.6759170653907496,0.9221690590111643
3,17,0.819281045751634,0.9872549019607844,0.7519607843137255,0.9666666666666667,0.6666666666666666,0.9091503267973856
3,29,0.8545751633986928,0.9895424836601308,0.7493464052287582,0.9565359477124183,0.6522875816993464,0.9104575163398693
3,43,0.8725490196078431,0.996078431372549,0.7176470588235294,0.9568627450980393,0.6941176470588235,0.9160130718954248
4,17,0.8166666666666667,0.9889880952380953,0.7220238095238095,0.9660714285714286,0.5889880952380953,0.8520833333333333
4,29,0.7985119047619048,0.9776785714285714,0.7550595238095238,0.9708333333333333,0.6017857142857143,0.8770833333333333
4,43,0.7556547619047619,0.9699404761904762,0.7157738095238095,0.950297619047619,0.6342261904761904,0.8803571428571428
