method,fold,seed,selected_epoch,score_weight_sha256,export_sha256,binding
GAP,0,17,25,b28d8b666204c2639822301aebd61eb7f7d22fb14c1042b453a2651b72d28a3e,63e8d0c14c1338a4f5aec8217437addddbd086365bb6a09440083925884179fe,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,0,29,12,f1302df3a9b794b33df781267f82bc217a2b781e85d7762dadf4f92d6d3fe5fc,8d2ef58174770d06472f51cdd51a8c68ce726b3a52c0f22b63aa06b14534b7f4,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,0,43,17,b54286c6548aef5e0f1b750e2ff65bcea140ce65077d401326352c3333a67356,6e04c0af22e2376617982785e81817625b378ec89dafbcd382bf1a6199cc3bbc,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,1,17,25,94ab328845236d8fe532df12b5dba34b5d1ce7fb0199080aa37bb65cfe9022ef,71d2ee7de0cdfb189c7ad1eef13bb1eae798bf447a857d9d98f674999718a4a3,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,1,29,22,882246ba9bdb045bfb083d8548c6f5e50c9b68188e05446872f3b1d01128fbed,a3b95df856c135188b4b6582bca0124c7e8450b9e07e2e37d8a585f805cccd71,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,1,43,19,76c2ef20e9b078732220f2150473bf3e672ee27d79ceea630278b03a2955366e,cc47b49c8c546d101aff38f6f68d4c6e778a54007e8b09336bdacf6de5a471c4,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,2,17,12,3093df0a2ea9eba81b7826888fdec4cef1e15fe960a91edb556ede80d53aef9b,f6375c21c432dc75b9d54afac8f537bcb68e93a7205ca67fbfb9f20fac58c226,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,2,29,5,57b49dde30f1b73a39acda9284e11cf7abb05c67c73dfd19f8c2da7963be8010,0b98a1a4d1e1e268d1fcd2fbc5a589a5e555dbbd7d36f71964212c7b16b4e165,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,2,43,9,30141a404c94cb6f9f2856737c7cd350446868e16b060093592f919b09b35add,9a1971ca18ba2058fa985080b7fd72a49f839b9f29691cbaddc426d5ce3e7332,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,3,17,3,209a1429597f70ff789d8a3feb110bcc7deb076ceac2dc6baa760c46320c9594,90e9f78ef0116a1ac306618d977b7807f937310b295499aaebc7eb037e49ec1c,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,3,29,15,c7e660f42ab1f2023ffd293add4521fdbf479502a27a02d136165f398316827f,1664301d02b9f50508bcd20b463dd69d800907e5a7b2fbfc4642b93e87e4be42,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,3,43,4,db6b51a3c1f5145fa499f06e1685e9594c2ad7d1e2d806c47a154dbfaffa0cbf,a1a2d5c65e8f6c65fb57e30d055e7fd93a9f8208bf0c94674d3fc639ddb39787,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,4,17,22,6df8b77b861ad4f0c60eca7dc4909a0d073c1e3f4d64b041e95d97105bf85444,289aa39f208cd67cff2da7479049cfaeb5af95e2f0a9634ad4463d6338eb0295,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,4,29,29,d6115060d9ff4635d417d13c066355bb05a95915cea3beb57d438279b55e81eb,bfcc3a09a6afa27ed9afe0ed8d081690fd02564c76feffca4c85728f4bdd2a8d,score_checkpoint_to_export_catalog_and_local_export_bytes
GAP,4,43,27,65eb9570b4f8c64b472c2c073ce075802d0b5b7aea4cffad6ed061037671c103,99075f2e15681fa65889d13b700c6b11d31e9180d76328a0509f9d9d1e4f170b,score_checkpoint_to_export_catalog_and_local_export_bytes
SupCon-in,0,17,22,739f7c57fdec943201e00602b7e026f185cbba1428e661b617ebd4290e03116e,739f7c57fdec943201e00602b7e026f185cbba1428e661b617ebd4290e03116e,training_completion_to_export_to_scoring_and_local_weight_bytes
SupCon-in,0,29,6,e18ed8be33a52c0188cf97ddb86cc0a6fd99f75b7d497b7a8ea9be4f64423962,e18ed8be33a52c0188cf97ddb86cc0a6fd99f75b7d497b7a8ea9be4f64423962,training_completion_to_export_to_scoring_and_local_weight_bytes
SupCon-in,0,43,2,c23701a3e105c5506c1a701915596b4b9067e43bb93ae2ed5e3ad973f8cf6ffa,c23701a3e105c5506c1a701915596b4b9067e43bb93ae2ed5e3ad973f8cf6ffa,training_completion_to_export_to_scoring_and_local_weight_bytes
SupCon-in,1,17,3,bc194bb5d77910b3856ee5c5a0254f91ec7aff5f23e4fad4e05df69ab1e442df,bc194bb5d77910b3856ee5c5a0254f91ec7aff5f23e4fad4e05df69ab1e442df,training_completion_to_export_to_scoring_and_local_weight_bytes
SupCon-in,1,29,10,f164e5d081a376e9154eda99672cf0618e4840ebfeced9c77bcb04fe83b8761b,f164e5d081a376e9154eda99672cf0618e4840ebfeced9c77bcb04fe83b8761b,training_completion_to_export_to_scoring_and_local_weight_bytes
