preprocessing,method,K,records,micro_accuracy_pct,macro_accuracy_pct
baseline,B,1,75,46.896851248642776,50.53150292779923
baseline,B,3,75,55.07057546145494,59.01378645360127
baseline,B,5,75,58.36264929424539,61.49326660993327
baseline,GAP,1,75,35.17046688382193,37.581827260530964
baseline,GAP,3,75,42.697068403908794,46.06041119374453
baseline,GAP,5,75,47.044516829533116,49.28888546295953
baseline,SupCon-in,1,75,25.32030401737242,27.93740861333454
baseline,SupCon-in,3,75,27.009771986970687,30.590182965182965
baseline,SupCon-in,5,75,29.01628664495114,32.161058214761916
neutral128,B,1,75,50.10206297502715,54.07829574403649
neutral128,B,3,75,58.34527687296417,62.60940972607639
neutral128,B,5,75,61.819761129207386,65.12081320599839
neutral128,GAP,1,75,39.30944625407166,42.18179399475696
neutral128,GAP,3,75,47.157437567861024,51.03476523476523
neutral128,GAP,5,75,51.12269272529859,53.88470976896903
neutral128,SupCon-in,1,75,28.416938110749186,30.660963761889693
neutral128,SupCon-in,3,75,32.8642779587405,35.60539971002934
neutral128,SupCon-in,5,75,35.20955483170467,37.28434220100887
geomalign_v3,B,1,75,47.76112920738328,51.456141389474716
geomalign_v3,B,3,75,55.13572204125949,59.633642009567936
geomalign_v3,B,5,75,57.95005428881651,61.70023885579442
geomalign_v3,GAP,1,75,36.243213897937025,39.00896007284896
geomalign_v3,GAP,3,75,43.1357220412595,46.70830369904444
geomalign_v3,GAP,5,75,46.731813246471226,49.51525090136201
geomalign_v3,SupCon-in,1,75,25.650380021715524,28.357479591738848
geomalign_v3,SupCon-in,3,75,29.58957654723127,33.042224031112916
geomalign_v3,SupCon-in,5,75,31.65689467969598,34.580124779198854
blacktrim_v1,B,1,75,47.23561346362649,51.038174788174786
blacktrim_v1,B,3,75,55.13572204125949,58.940956574289906
blacktrim_v1,B,5,75,58.24538545059718,61.38855605985235
blacktrim_v1,GAP,1,75,35.756786102062975,38.652713918454666
blacktrim_v1,GAP,3,75,43.08360477741585,46.44466959652144
blacktrim_v1,GAP,5,75,47.19652551574376,49.48184593184594
blacktrim_v1,SupCon-in,1,75,26.210640608034748,28.933689629985928
blacktrim_v1,SupCon-in,3,75,28.968512486427798,32.48881828048494
blacktrim_v1,SupCon-in,5,75,31.305103148751357,34.167944229981266
