method,fold,seed,updates,image_inputs,active_queries,selected_epoch,earliest_maximum_validated,identity_date_violations,task_sequence_sha256
GAP,0,17,630,37800,6210,25,True,0,9b289002e7b03e88a41a103f22b96ad896d231e48120d112d58f23082ee5bf64
GAP,0,29,630,37800,6210,12,True,0,ad3ceb0642d6d5062129bb965f182181669d1b51c7f0b62f8178bd2a36f0ac7e
GAP,0,43,630,37800,6210,17,True,0,6e2e285f96194a7dff7d1152f10101f30430ac316a126a07c74f52d80e104133
GAP,1,17,630,37800,6210,25,True,0,029f9eb202c45f2b83db4332c660d3bb6b923ef0c4c4c83e769f877e4932f3eb
GAP,1,29,630,37800,6210,22,True,0,159e659ebcbd011be2a62ee48b1f47289746f5ac44fee54dc513b73a11b0a3e0
GAP,1,43,630,37800,6210,19,True,0,a7dcdb06ac43d9a07f90d037676c9550ce7fa3b1a767fed3f8a81d7348c50536
GAP,2,17,630,37800,6210,12,True,0,4da088170e5265f64f3040f1f1fa02c21da69b0b53fa283a7fb2525f693bba8e
GAP,2,29,630,37800,6210,5,True,0,025180becfd7d29e066fc7451c9aa13b97291ca88b1e2e35440403dde1e30a47
GAP,2,43,630,37800,6210,9,True,0,df74ebb90fe479ff098a9c7ed99ce466de756366cbe2cb875538660eea46ca8b
GAP,3,17,630,37800,6210,3,True,0,aae3166ed77c79b5f8be49a8172b330b619ec137d8ece56171b41f11dfd88611
GAP,3,29,630,37800,6210,15,True,0,ed473a128f2ca696bc95620064190f5df780c133538efc71a5333115a55b6130
GAP,3,43,630,37800,6210,4,True,0,7b6b32c81eb5ee55022ee205ec843bfaf4d658feca98cb3bd43a1cf95178c434
GAP,4,17,630,37800,6240,22,True,0,f7c92a2b281b3c1a963d5c23e8d33a8af4ac787643d2e5fe15cf97217be42460
GAP,4,29,630,37800,6240,29,True,0,2fca2c5e11eb32b6ce1e256e5e5ac8bd713c7bcbac67fec281c33f9a28d4a196
GAP,4,43,630,37800,6240,27,True,0,9894c56d330be2d0525fe212ff9789dc5e19cf220a1a81ab354a1a8fd671a145
SupCon-in,0,17,630,37800,6210,22,True,0,9b289002e7b03e88a41a103f22b96ad896d231e48120d112d58f23082ee5bf64
SupCon-in,0,29,630,37800,6210,6,True,0,ad3ceb0642d6d5062129bb965f182181669d1b51c7f0b62f8178bd2a36f0ac7e
SupCon-in,0,43,630,37800,6210,2,True,0,6e2e285f96194a7dff7d1152f10101f30430ac316a126a07c74f52d80e104133
SupCon-in,1,17,630,37800,6210,3,True,0,029f9eb202c45f2b83db4332c660d3bb6b923ef0c4c4c83e769f877e4932f3eb
SupCon-in,1,29,630,37800,6210,10,True,0,159e659ebcbd011be2a62ee48b1f47289746f5ac44fee54dc513b73a11b0a3e0
SupCon-in,1,43,630,37800,6210,15,True,0,a7dcdb06ac43d9a07f90d037676c9550ce7fa3b1a767fed3f8a81d7348c50536
